label,message
ham,"Go until jurong point, crazy. Available only in Bugis and Great World for the buffet. Cine there got Amore."
ham,"Okay, I'm just joking with you."
spam,"Free entry into a weekly competition to win FA Cup final tickets. Text FA to 87121 to receive entry question. (Standard text rate) T&C apply."
ham,"Nah, I don't think he goes to USF. He lives around here though."
spam,"FreeMsg: Hey there darling, it's been 3 weeks now and no word back! I'd like some fun. Are you up for it? Txt back!"
ham,"Even my brother doesn't want to talk to me. They treat me like I have AIDS."
ham,"As per your request, 'Melle Melle' has been set as your callertune for all callers. Press *9 to copy your friend's callertune."
spam,"WINNER!! You've been selected to receive a £900 prize reward! To claim, call 09061701461. Claim code KL341. Valid for 12 hours only."
spam,"Had your mobile for 11 months or more? You're entitled to upgrade to the latest color mobiles with cameras for FREE! Call 08002986030 now!"
ham,"I'm going to be home soon and don't want to talk about this stuff anymore tonight. I've cried enough today."
spam,"SIX chances to win cash! From £100 to £20,000. Text CSH11 to 87575. Costs 150p/day, 6 days. 16+ Ts&Cs apply."
spam,"URGENT! You have won a 1-week FREE membership in our £100,000 Prize Jackpot! Text CLAIM to 81010 to claim. T&Cs apply."
ham,"I've been searching for the right words to thank you for this breather. I promise I won’t take your help for granted. You've been wonderful and a blessing at all times."
ham,"I have a date on Sunday with Will!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next text or click here >> http://xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Oh, okay. I'm watching here. :)"
ham,"Eh, you remember how to spell his name? Yes, I did. He's very naughty."
ham,"Fine if that's the way you feel. That's the way it's gotta be."
spam,"England vs Macedonia - don't miss the goals/team news. Text your national team to 87077, e.g., ENGLAND to 87077. Try WALES, SCOTLAND. Text costs £1.20."
ham,"Is that seriously how you spell his name?"
ham,"I’m going to try for 2 months. Ha, only joking."
ham,"So, you pay first, then when is the stock coming in?"
ham,"After I finish my lunch, I'll head straight down. Around 3-something. Have you finished your lunch already?"
ham,"Ffffffff. Alright, no way I can meet up with you sooner?"
ham,"Just forced myself to eat a slice. I'm really not hungry though. This sucks. Mark is getting worried."
ham,"Lol, you're always so convincing."
ham,"Did you catch the bus? Are you frying an egg? Are you eating your mom's leftover dinner? Do you feel my love?"
ham,"I'm back and we're packing the car now. I'll let you know if there's room."
ham,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol."
ham,"Wait, that's still not all that clear. Were you not sure about me being sarcastic or that that's why X doesn't want to live with us?"
ham,"Yeah, he got in at 2 and was very apologetic. He had fallen out with her, and she was acting like a spoiled child."
ham,"Tell me anything about you."
ham,"For fear of fainting from all the housework you just did? Quick, have a cuppa."
spam,"Thanks for your subscription to Ringtone UK. Your mobile will be charged £5/month. Please confirm by replying YES or NO."
ham,"Yup, okay. I'll go home and look at the timings, then I'll message you again."
ham,"Oops, I'll let you know when my roommate's done."
ham,"I see the letter B on my car."
ham,"Anything. You decide."
ham,"Hello! How's everything? How did Saturday go? Just texting to see if you’d decided to do anything tomorrow. Not that I’m trying to invite myself or anything!"
ham,"Pls go ahead with watts. Just wanted to be sure. Have a great weekend!"
ham,"Did I forget to tell you? I want you, I need you, I crave you. But most of all, I love you."
spam,"07732584351 - Rodger Burns - MSG: We tried to call you about your reply to our SMS for a free Nokia mobile + camcorder. Call now 08000930705."
ham,"WHO ARE YOU SEEING?"
ham,"Great! I hope you like your man well endowed. I am 5 inches."
ham,"No calls, messages, or missed calls."
ham,"Didn’t you get your Hep B immunization in Nigeria?"
ham,"Fair enough, anything going on?"
ham,"Yeah, hopefully. If Tyler can't do it, I might ask around."
ham,"You don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not weak."
ham,"What did you think about me the first time you saw me in class?"
ham,"A gram usually runs like 25 bucks, but a half eighth is smarter and gives you almost a full second gram."
ham,"FYI, X has a ride early tomorrow but is crashing at our place tonight."
ham,"Wow, I didn't realize you were so embarrassed by your accommodations. I thought you liked it."
spam,"SMS: The New Jersey Devils and the Detroit Red Wings play ice hockey. Correct or Incorrect? Text END to stop."
ham,"here is my new address -apples&pairs&all that malarkey"
spam,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app."
ham,"I am going to sao mu today. Will be done only at 12"
ham,"Predict what time I'll finish buying?"
ham,"Good stuff, will do."
ham,"Just so you know, Yetunde hasn't sent money yet. I just sent her a text not to bother sending. So it's over."
ham,"Are you there in the room?"
ham,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx"
ham,"K..k:) how much does it cost?"
ham,"I'm home."
ham,"Dear, will call tomorrow. Please accommodate."
